                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41751,                0.22149,                0.86651,                0.99993,                0.99998,                  0.995,                0.94085,                0.46674,                0.21896,                0.84527,             0.00041005,             0.00041005,             0.00041005
                      2,                0.44182,                0.23905,                0.86507,                0.99831,                0.99891,                0.99496,                 0.9107,                 0.5217,                0.24774,                0.86888,             0.00081503,             0.00081503,             0.00081503
                      3,                0.50217,                0.27104,                0.89382,                0.99783,                0.99762,                0.99498,                0.90582,                 0.5455,                0.25919,                0.87931,              0.0012082,              0.0012082,              0.0012082
                      4,                0.50164,                0.27619,                 0.8933,                 0.9976,                0.99907,                0.99496,                 0.9178,                0.53994,                0.25383,                0.88297,               0.001197,               0.001197,               0.001197
                      5,                0.51601,                0.27848,                0.90348,                0.98411,                0.99632,                0.99481,                0.87601,                0.64624,                0.30629,                0.93474,               0.001197,               0.001197,               0.001197
                      6,                0.51861,                 0.2773,                0.90061,                0.99554,                0.99673,                0.99472,                0.91542,                0.54066,                0.26095,                0.88179,              0.0011793,              0.0011793,              0.0011793
                      7,                0.50121,                0.27263,                0.90058,                 0.9971,                0.99617,                  0.995,                0.89272,                0.59334,                0.27114,                0.91055,              0.0011616,              0.0011616,              0.0011616
                      8,                0.52371,                0.28024,                0.89976,                0.99723,                0.99918,                  0.995,                0.92627,                0.47386,                0.23805,                0.85325,              0.0011439,              0.0011439,              0.0011439
                      9,                0.50344,                0.27274,                0.89795,                0.99847,                0.99924,                  0.995,                0.90523,                0.58944,                0.26314,                0.90946,              0.0011263,              0.0011263,              0.0011263
                     10,                0.50634,                0.27632,                0.89283,                0.99063,                0.99914,                0.99436,                0.88476,                0.58841,                0.27556,                0.90611,              0.0011086,              0.0011086,              0.0011086
                     11,                0.52756,                0.28211,                0.90355,                  0.995,                 0.9973,                0.99498,                 0.9208,                0.51688,                 0.2657,                0.86994,              0.0010909,              0.0010909,              0.0010909
                     12,                0.51239,                0.27882,                0.89843,                0.99772,                0.99889,                0.99499,                0.90838,                0.55257,                 0.2679,                0.88403,              0.0010732,              0.0010732,              0.0010732
                     13,                0.50296,                0.27244,                0.89738,                0.99697,                0.99835,                  0.995,                0.91399,                0.51441,                0.25478,                 0.8697,              0.0010555,              0.0010555,              0.0010555
                     14,                0.50338,                0.27174,                0.89941,                 0.9967,                 0.9989,                  0.995,                0.91781,                0.52128,                0.25077,                0.87522,              0.0010379,              0.0010379,              0.0010379
                     15,                0.49818,                0.26946,                0.89906,                0.99774,                0.99959,                  0.995,                  0.922,                0.52061,                0.25073,                0.86996,              0.0010202,              0.0010202,              0.0010202
                     16,                0.49319,                0.26542,                0.88712,                0.99773,                      1,                  0.995,                0.92666,                0.48864,                0.24762,                  0.856,              0.0010025,              0.0010025,              0.0010025
                     17,                0.49428,                0.26562,                0.89361,                0.99663,                0.99887,                 0.9949,                0.92986,                0.48876,                0.24753,                0.85902,             0.00098482,             0.00098482,             0.00098482
                     18,                0.49625,                0.26859,                0.89309,                0.99877,                0.99892,                  0.995,                0.92351,                0.51786,                0.24579,                0.87222,             0.00096714,             0.00096714,             0.00096714
                     19,                0.48983,                0.26352,                0.89073,                0.99028,                0.99923,                0.99128,                0.88509,                0.57697,                0.27498,                0.90596,             0.00094946,             0.00094946,             0.00094946
                     20,                0.49103,                0.26801,                0.89461,                0.99812,                0.99902,                  0.995,                0.92677,                0.51308,                0.24608,                0.86777,             0.00093179,             0.00093179,             0.00093179
                     21,                0.48466,                0.26713,                0.88447,                0.99838,                      1,                  0.995,                0.93035,                0.46964,                0.23707,                0.85044,             0.00091411,             0.00091411,             0.00091411
                     22,                0.48332,                0.26381,                0.89005,                0.99647,                0.99877,                0.99493,                0.92642,                0.47014,                0.23257,                0.84962,             0.00089643,             0.00089643,             0.00089643
                     23,                0.47543,                0.25551,                0.88743,                0.99838,                0.99928,                  0.995,                0.93073,                 0.4595,                 0.2272,                0.84612,             0.00087875,             0.00087875,             0.00087875
                     24,                0.48529,                0.26095,                0.88674,                0.99868,                0.99935,                  0.995,                0.94465,                 0.4484,                0.22578,                0.84188,             0.00086107,             0.00086107,             0.00086107
                     25,                 0.4675,                0.25286,                0.88448,                0.99702,                0.99761,                  0.995,                0.92335,                0.48585,                 0.2365,                0.85895,             0.00084339,             0.00084339,             0.00084339
                     26,                0.47045,                0.25114,                0.87936,                 0.9989,                0.99929,                  0.995,                0.95524,                 0.4033,                0.21514,                0.82761,             0.00082571,             0.00082571,             0.00082571
                     27,                0.46697,                0.25327,                0.88183,                0.99797,                0.99918,                  0.995,                0.94641,                0.42356,                0.21353,                0.83346,             0.00080804,             0.00080804,             0.00080804
                     28,                0.45852,                0.24895,                0.88409,                0.99863,                0.99924,                  0.995,                0.94638,                0.43037,                0.22499,                0.83649,             0.00079036,             0.00079036,             0.00079036
                     29,                0.45583,                0.24622,                0.87747,                0.99884,                0.99959,                  0.995,                0.94548,                0.42662,                0.21496,                0.83221,             0.00077268,             0.00077268,             0.00077268
                     30,                 0.4643,                0.24936,                0.88436,                0.99831,                0.99918,                  0.995,                 0.9394,                0.46166,                0.23006,                0.84879,               0.000755,               0.000755,               0.000755
                     31,                0.45259,                0.24449,                0.87719,                0.99683,                      1,                  0.995,                0.92839,                 0.4793,                0.23554,                0.85059,             0.00073732,             0.00073732,             0.00073732
                     32,                0.44638,                0.23915,                0.87259,                0.99872,                0.99979,                  0.995,                 0.9513,                0.41388,                0.20944,                0.83115,             0.00071964,             0.00071964,             0.00071964
                     33,                0.44348,                 0.2412,                0.87385,                0.99715,                0.99994,                  0.995,                0.95244,                0.40613,                0.21123,                 0.8281,             0.00070196,             0.00070196,             0.00070196
                     34,                0.43466,                0.23824,                0.87386,                0.99883,                      1,                  0.995,                0.94991,                0.42208,                 0.2128,                0.83295,             0.00068429,             0.00068429,             0.00068429
                     35,                0.44177,                0.24222,                0.87034,                0.99858,                0.99972,                  0.995,                0.94647,                 0.4265,                0.21476,                0.83352,             0.00066661,             0.00066661,             0.00066661
                     36,                0.43949,                0.23868,                0.87159,                0.99885,                0.99932,                  0.995,                 0.9567,                0.38947,                0.20438,                0.82089,             0.00064893,             0.00064893,             0.00064893
                     37,                0.43261,                 0.2352,                 0.8697,                0.99771,                      1,                  0.995,                0.95424,                0.39934,                0.20311,                0.82533,             0.00063125,             0.00063125,             0.00063125
                     38,                0.42633,                0.23432,                0.86414,                0.99888,                      1,                  0.995,                0.95632,                0.40127,                0.20522,                0.82411,             0.00061357,             0.00061357,             0.00061357
                     39,                0.41739,                0.22782,                0.86397,                0.99958,                0.99973,                  0.995,                  0.958,                0.38841,                0.20017,                0.82254,             0.00059589,             0.00059589,             0.00059589
                     40,                0.41839,                0.22969,                0.86437,                0.99891,                0.99949,                  0.995,                0.96057,                0.37361,                0.20078,                0.81646,             0.00057821,             0.00057821,             0.00057821
                     41,                0.42439,                 0.2346,                0.86678,                0.99909,                0.99918,                  0.995,                0.95982,                0.37388,                0.19662,                0.81577,             0.00056054,             0.00056054,             0.00056054
                     42,                0.40722,                0.22442,                0.86268,                0.99952,                 0.9999,                  0.995,                0.96068,                0.37709,                0.19809,                0.81594,             0.00054286,             0.00054286,             0.00054286
                     43,                0.41646,                0.22808,                0.86312,                0.99907,                0.99953,                  0.995,                0.96132,                0.36491,                0.19557,                 0.8128,             0.00052518,             0.00052518,             0.00052518
                     44,                0.40755,                0.22098,                 0.8671,                0.99859,                0.99959,                  0.995,                0.96274,                0.35458,                0.19157,                0.80937,              0.0005075,              0.0005075,              0.0005075
                     45,                0.40542,                0.22222,                0.85785,                0.99931,                0.99959,                  0.995,                  0.967,                0.35108,                0.19129,                0.80875,             0.00048982,             0.00048982,             0.00048982
                     46,                0.40213,                0.22056,                0.85774,                0.99897,                0.99964,                  0.995,                0.96536,                0.35932,                0.19239,                0.81044,             0.00047214,             0.00047214,             0.00047214
                     47,                0.40339,                0.22167,                0.85538,                  0.999,                0.99923,                  0.995,                0.96625,                0.35049,                0.18957,                0.80698,             0.00045446,             0.00045446,             0.00045446
                     48,                0.39738,                0.21873,                0.85788,                0.99878,                 0.9997,                  0.995,                0.97146,                 0.3452,                0.18757,                0.80602,             0.00043679,             0.00043679,             0.00043679
                     49,                 0.4045,                 0.2205,                0.85837,                0.99815,                0.99918,                0.99496,                0.96622,                0.34789,                0.18844,                0.80836,             0.00041911,             0.00041911,             0.00041911
                     50,                0.40245,                0.21906,                0.85834,                 0.9993,                0.99932,                  0.995,                0.96786,                0.35446,                0.19152,                0.81028,             0.00040143,             0.00040143,             0.00040143
                     51,                0.38956,                0.21731,                0.85442,                0.99899,                0.99938,                  0.995,                0.97039,                0.32454,                0.18212,                0.80149,             0.00038375,             0.00038375,             0.00038375
                     52,                0.38694,                0.21282,                0.85677,                0.99885,                      1,                  0.995,                0.96083,                0.35892,                0.18865,                0.81069,             0.00036607,             0.00036607,             0.00036607
                     53,                0.38497,                0.21215,                0.85678,                  0.999,                0.99959,                  0.995,                0.97584,                0.32306,                0.18149,                 0.8017,             0.00034839,             0.00034839,             0.00034839
                     54,                0.39002,                0.21329,                0.85253,                0.99901,                0.99945,                  0.995,                0.96926,                0.34336,                0.18357,                 0.8065,             0.00033071,             0.00033071,             0.00033071
                     55,                0.38908,                0.21134,                0.85735,                0.99905,                0.99962,                  0.995,                0.97542,                0.31603,                0.17762,                0.79866,             0.00031304,             0.00031304,             0.00031304
                     56,                0.37533,                0.20959,                0.85582,                0.99883,                0.99937,                  0.995,                0.97295,                0.31634,                0.17715,                0.79922,             0.00029536,             0.00029536,             0.00029536
                     57,                0.38153,                0.20795,                0.84989,                0.99882,                      1,                  0.995,                0.97598,                0.31169,                0.17625,                0.79632,             0.00027768,             0.00027768,             0.00027768
                     58,                0.37812,                0.20559,                0.84975,                0.99876,                0.99966,                  0.995,                0.97734,                0.30368,                0.17323,                0.79537,                0.00026,                0.00026,                0.00026
                     59,                0.37304,                0.20738,                0.84705,                0.99902,                0.99941,                  0.995,                0.97744,                0.30783,                0.17317,                0.79459,             0.00024232,             0.00024232,             0.00024232
                     60,                0.37057,                0.20388,                0.85016,                0.99866,                      1,                  0.995,                0.97665,                0.29931,                0.17013,                0.79323,             0.00022464,             0.00022464,             0.00022464
                     61,                0.37885,                 0.1999,                0.83825,                0.99894,                 0.9997,                  0.995,                0.97182,                0.32725,                0.17952,                0.80018,             0.00020696,             0.00020696,             0.00020696
                     62,                0.35783,                0.19211,                0.83454,                0.99901,                0.99963,                  0.995,                0.97353,                0.31867,                0.17561,                0.79791,             0.00018929,             0.00018929,             0.00018929
                     63,                 0.3521,                0.18878,                0.82748,                0.99869,                0.99983,                  0.995,                0.97506,                 0.3193,                0.17601,                0.79892,             0.00017161,             0.00017161,             0.00017161
                     64,                0.34989,                0.18523,                0.82611,                0.99897,                0.99961,                  0.995,                0.97536,                0.31432,                0.17362,                 0.7973,             0.00015393,             0.00015393,             0.00015393
                     65,                0.34176,                0.18428,                0.82786,                0.99903,                0.99969,                  0.995,                0.97824,                0.30574,                0.17156,                0.79464,             0.00013625,             0.00013625,             0.00013625
                     66,                0.33772,                0.18194,                0.82637,                0.99906,                0.99983,                  0.995,                0.97681,                0.30309,                0.16923,                0.79381,             0.00011857,             0.00011857,             0.00011857
                     67,                0.33737,                0.18052,                0.82598,                0.99908,                      1,                  0.995,                0.97646,                0.30457,                0.16877,                0.79406,             0.00010089,             0.00010089,             0.00010089
                     68,                0.33858,                0.17997,                0.82843,                0.99897,                0.99974,                  0.995,                0.97519,                0.31605,                0.17276,                0.79764,             8.3214e-05,             8.3214e-05,             8.3214e-05
                     69,                0.33307,                0.17832,                0.83331,                0.99896,                      1,                  0.995,                0.97886,                0.29508,                0.16574,                0.79129,             6.5536e-05,             6.5536e-05,             6.5536e-05
                     70,                0.33724,                 0.1796,                0.82576,                 0.9989,                      1,                  0.995,                0.97858,                0.28993,                0.16568,                0.79027,             4.7857e-05,             4.7857e-05,             4.7857e-05
